,ID,Date,TEMP,pH,TURB,FECALCOLI,NO3N,TP,Label,WQI
0,1978-06-08IND00012,1978-06-08,15.0,47.0,84.0,98.0,97.0,98.0,3,73.59677419354838
1,1978-06-08IND00028,1978-06-08,12.0,19.0,84.0,98.0,97.0,98.0,2,68.14516129032256
2,1978-06-12IND00011,1978-06-12,0.0,47.0,84.0,98.0,97.0,98.0,3,71.1774193548387
3,1978-07-09IND00028,1978-07-09,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
4,1978-07-10IND00011,1978-07-10,18.0,82.0,84.0,98.0,97.0,98.0,3,80.29032258064515
5,1978-07-10IND00012,1978-07-10,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
6,1978-08-06IND00011,1978-08-06,12.0,93.0,84.0,98.0,97.0,98.0,3,81.27419354838709
7,1978-08-09IND00028,1978-08-09,12.0,82.0,84.0,98.0,97.0,98.0,3,79.32258064516128
8,1978-08-10IND00012,1978-08-10,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
9,1978-09-07IND00028,1978-09-07,12.0,82.0,84.0,98.0,97.0,98.0,3,79.32258064516128
10,1978-09-09IND00011,1978-09-09,15.0,82.0,84.0,98.0,97.0,98.0,3,79.80645161290322
11,1978-09-10IND00012,1978-09-10,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
12,1978-10-06IND00028,1978-10-06,10.0,90.0,84.0,98.0,97.0,98.0,3,80.41935483870967
13,1978-10-09IND00012,1978-10-09,15.0,67.0,84.0,98.0,97.0,98.0,3,77.14516129032256
14,1978-10-10IND00011,1978-10-10,10.0,90.0,84.0,98.0,97.0,98.0,3,80.41935483870967
15,1978-10-26IND00029,1978-10-26,12.0,90.0,84.0,8.0,97.0,98.0,2,57.516129032258064
16,1978-10-26IND00034,1978-10-26,12.0,82.0,84.0,10.0,97.0,98.0,2,56.61290322580644
17,1978-10-27IND00033,1978-10-27,15.0,82.0,84.0,8.0,97.0,98.0,2,56.58064516129031
18,1978-11-07IND00011,1978-11-07,10.0,67.0,84.0,98.0,97.0,98.0,3,76.33870967741935
19,1978-11-09IND00028,1978-11-09,12.0,82.0,84.0,98.0,97.0,98.0,3,79.32258064516128
20,1978-11-15IND00012,1978-11-15,15.0,92.0,84.0,98.0,97.0,98.0,3,81.5806451612903
21,1978-11-18IND00005,1978-11-18,0.0,47.0,84.0,27.0,97.0,98.0,2,52.854838709677416
22,1978-11-20IND00029,1978-11-20,12.0,82.0,84.0,45.0,97.0,98.0,2,65.64516129032256
23,1978-11-28IND00034,1978-11-28,12.0,82.0,84.0,8.0,97.0,98.0,2,56.09677419354838
24,1978-11-30IND00033,1978-11-30,12.0,90.0,84.0,71.0,97.0,98.0,3,73.77419354838709
25,1978-12-07IND00028,1978-12-07,15.0,47.0,84.0,98.0,97.0,98.0,3,73.59677419354838
26,1978-12-09IND00011,1978-12-09,21.0,67.0,84.0,98.0,97.0,98.0,3,78.11290322580643
27,1978-12-12IND00012,1978-12-12,15.0,93.0,84.0,98.0,97.0,98.0,3,81.75806451612901
28,1978-12-27IND00029,1978-12-27,12.0,67.0,84.0,80.0,97.0,98.0,3,72.01612903225805
29,1978-12-27IND00034,1978-12-27,12.0,67.0,84.0,63.0,97.0,98.0,2,67.6290322580645
30,1978-12-28IND00033,1978-12-28,15.0,67.0,84.0,53.0,97.0,98.0,2,65.53225806451613
31,1979-01-01IND00009,1979-01-01,89.0,47.0,68.0,98.0,97.0,98.0,3,83.46774193548386
32,1979-01-01IND00010,1979-01-01,18.0,67.0,39.0,98.0,97.0,98.0,3,71.82258064516128
33,1979-01-01IND00011,1979-01-01,21.0,67.0,53.0,98.0,97.0,98.0,3,74.11290322580645
34,1979-01-01IND00012,1979-01-01,15.0,67.0,48.0,98.0,97.0,98.0,3,72.49999999999999
35,1979-01-01IND00028,1979-01-01,10.0,82.0,53.0,98.0,97.0,98.0,3,74.99999999999999
36,1979-01-01IND00029,1979-01-01,12.0,47.0,53.0,98.0,97.0,98.0,2,69.11290322580645
37,1979-01-25IND00033,1979-01-25,12.0,67.0,84.0,53.0,97.0,98.0,2,65.04838709677418
38,1979-01-25IND00034,1979-01-25,12.0,67.0,84.0,98.0,97.0,98.0,3,76.66129032258064
39,1979-02-01IND00010,1979-02-01,12.0,67.0,48.0,98.0,97.0,98.0,3,72.01612903225805
40,1979-02-01IND00011,1979-02-01,15.0,93.0,39.0,98.0,97.0,98.0,3,75.9516129032258
41,1979-02-01IND00012,1979-02-01,10.0,67.0,48.0,98.0,97.0,98.0,3,71.69354838709677
42,1979-02-01IND00028,1979-02-01,15.0,19.0,53.0,98.0,97.0,98.0,2,64.62903225806451
43,1979-02-01IND00029,1979-02-01,12.0,67.0,53.0,53.0,97.0,98.0,2,61.048387096774185
44,1979-02-15IND00002,1979-02-15,21.0,90.0,84.0,2.0,97.0,98.0,2,57.41935483870967
45,1979-02-27IND00001,1979-02-27,18.0,67.0,84.0,53.0,97.0,98.0,2,66.01612903225805
46,1979-03-01IND00009,1979-03-01,12.0,47.0,62.0,98.0,97.0,98.0,3,70.27419354838709
47,1979-03-01IND00011,1979-03-01,15.0,47.0,39.0,98.0,97.0,98.0,2,67.79032258064515
48,1979-03-01IND00012,1979-03-01,12.0,47.0,53.0,98.0,97.0,98.0,2,69.11290322580645
49,1979-03-01IND00028,1979-03-01,15.0,67.0,48.0,98.0,97.0,98.0,3,72.49999999999999
50,1979-03-01IND00029,1979-03-01,0.0,67.0,53.0,45.0,97.0,98.0,2,57.04838709677418
51,1979-03-05IND00033,1979-03-05,10.0,82.0,84.0,45.0,97.0,98.0,2,65.32258064516128
52,1979-03-05IND00034,1979-03-05,10.0,82.0,84.0,98.0,97.0,98.0,3,78.99999999999999
